,,degree,eigenvector,pagerank
90,135,286.0407860924276,0.003852002260900746,3.4370238534387e-05
85,136,519.594367333864,0.005030109552624299,5.7768397874032427e-05
52,182,2182.089440130951,0.05511177985052182,0.0003826259653239301
57,190,286.0027633898009,0.00011936614254849469,8.087756567786522e-05
69,110,945.4487818261746,0.004028627992724901,0.0001505439962147625
117,189,67.34540098496073,1.7325174301325067e-06,4.095502743829062e-05
111,70,88.83284256180328,9.6223252488413e-07,3.514313595562106e-05
112,73,423.9673265663502,0.00018448029755132423,0.0001325455096029065
81,101,200.3308440573382,0.0007747090994110933,4.2393585136786726e-05
89,102,461.13175910808366,0.0002561984843896588,8.810797021969196e-05
97,137,141.30447800600274,0.00033596795203245716,2.1720078251492466e-05
104,139,331.1474425387989,0.0011940581962063335,5.255706281837561e-05
113,191,138.76338106462921,2.4484827825934257e-06,7.739144980332083e-05
108,194,24.071067811865476,5.530041515080401e-08,1.8433587938627394e-05
93,149,318.57550670837674,0.0010254571461245378,4.883119477259039e-05
94,155,744.875755761006,0.0004910876341656917,0.00011817071585361514
79,130,1390.524808906557,0.029456225634614194,0.0001734159054874476
57,176,350.20559005891636,0.004938588980072813,7.256703768192146e-05
101,135,2523.9189004072373,0.05370928093297716,0.0003052606315752761
108,135,592.2238868788776,0.0016330048245483434,0.00011814218139826804
57,108,64.88683914111495,1.0017621500745834e-05,3.072947624521489e-05
72,120,422.55793146421684,0.0006159014103469029,6.980353102083499e-05
121,77,140.53963350947447,1.999110473032076e-05,4.2209243549310075e-05
137,84,165.25920333881083,2.3444442425927675e-05,4.936426766459377e-05
120,71,154.22292716618946,4.21718827178806e-06,5.434199647344656e-05
126,77,349.0285997424712,5.1366397207339566e-05,9.163404706894406e-05
111,184,301.504831937471,1.2717498002485922e-05,0.00012784352126791839
101,188,180.45066181633325,1.748245919360516e-05,7.252252683803332e-05
38,196,10.974691494688162,3.3607445968437636e-07,1.1026348228381991e-05
38,197,174.67685563278516,2.237925441429264e-06,8.156400893011046e-05
177,47,271.4603906520909,1.1305449595174384e-05,9.220666556112075e-05
175,49,481.5264291484884,1.58499233481332e-05,0.00016195342348473044
123,143,59.2459859753246,3.714570999460411e-06,2.772663649026149e-05
119,150,224.18898666495156,3.501181190772212e-05,7.824332952067842e-05
89,131,135.38454944447284,0.0006685586326376794,1.9710885057171045e-05
92,136,292.37610289537037,0.001967198516948336,3.633449135099324e-05
147,37,32.95935066447457,6.971099762922235e-09,3.797630116654044e-05
155,40,86.38426457432922,5.205982455630533e-08,6.0600132401789716e-05
37,104,360.25102666071984,5.871070773799632e-05,9.650259669077706e-05
76,121,605.6646326148932,0.005642637739329449,8.086911936335191e-05
23,97,276.7018340216626,2.2201716325848237e-05,7.833329877464742e-05
15,102,176.90382642529258,1.4970039754128868e-05,6.59623087599191e-05
59,169,399.00364705773393,0.0006130235413421238,8.079976324533404e-05
50,185,493.82978148004406,0.00035889097641855967,0.00012684806066864225
76,133,899.5336650273053,0.022555583212885238,0.00011787860490508392
62,135,314.77625754298157,0.00146752505836706,5.504186299572702e-05
89,177,493.44173007719576,0.0030349131770505996,0.00011619672846893616
107,188,203.29130489853284,7.168996571890485e-06,8.28893515837768e-05
142,65,212.54882433681612,1.4187264351527855e-05,8.041008546187187e-05
142,69,98.48481410322576,0.0008000195419955246,3.5508388240185104e-05
51,127,376.45808398707607,0.003317090666506225,8.807073574521084e-05
57,137,92.42359711182124,9.854330956714066e-05,2.3850933749565963e-05
52,146,85.61360128789696,4.818146302092653e-05,2.8516716798006753e-05
53,149,14.65685424949238,2.247419613994065e-06,1.0002658054002262e-05
178,58,342.8123124483196,1.527718317431459e-05,0.00011076105701801189
189,74,70.13821374769691,1.487870013187309e-07,4.5777414455748806e-05
72,121,495.42958365207204,0.0008726238444623173,6.936849181546809e-05
73,123,615.2299721965637,0.005277011824270368,7.74977599618294e-05
117,101,17.25260836221753,7.2864350332300615e-06,9.310781235335433e-06
121,105,326.4495163496181,7.718732541216423e-05,7.014851053720006e-05
89,143,354.7571269552093,0.0017539037076106023,4.6163594309880956e-05
96,146,377.3142723508658,0.0004286445445835234,5.734131964733505e-05
31,155,44.140891214826624,4.515372843615651e-07,2.8699935596645964e-05
31,156,19.949382989376325,9.76228112448152e-08,1.841075131730846e-05
64,121,359.9368631690707,0.0002957425597591408,6.784718752586654e-05
45,126,133.11642488265005,0.00020979673183138574,3.9543377750574104e-05
86,92,168.08194391826973,0.00021575794464645808,4.8462127100992747e-05
85,94,105.05171238782494,0.00038191694987793384,3.274951933796726e-05
35,192,186.3677440945301,2.901107777047931e-06,7.477767584200934e-05
42,192,78.69135179477001,2.3266724946814304e-05,3.1860164861921156e-05
