community_id,num_nodes,num_edges,total_weight,avg_degree,density
0,1052,46129,155860.52392142502,296.31278312057987,0.08344216806011295
1,3274,77451,163619.06592541613,99.95055951460974,0.014455474261282544
2,1773,60187,156687.268499253,176.74818781641625,0.038314242099004504
3,1449,29386,74222.88986564642,102.44705295465344,0.028011316625296927
4,1991,42876,96913.18652568868,97.35126722821565,0.021643122695345133
5,1482,24406,59672.74872872366,80.53002527493071,0.022239414044382236
6,1779,49578,123312.397048911,138.63113777280608,0.03134810509563202
7,2030,71967,192663.74764951476,189.8165001473052,0.034945021328665386
8,2772,49324,119719.984433986,86.37805514717604,0.012842764917828072
9,2588,44786,98489.07156203242,76.11211094438363,0.013378627772078799
10,2767,33800,69586.4267838192,50.297381123107485,0.008832534877406768
11,3,2,2.0,1.3333333333333333,0.6666666666666666
12,2,1,1.0,1.0,1.0
13,3,2,2.0,1.3333333333333333,0.6666666666666666
14,2,1,1.0,1.0,1.0
15,2,1,1.0,1.0,1.0
16,2,1,1.0,1.0,1.0
17,2,1,1.0,1.0,1.0
18,2,1,1.0,1.0,1.0
19,2,1,1.0,1.0,1.0
20,2,1,1.4142135623730951,1.4142135623730951,1.0
21,4,3,5.146264369941973,2.5731321849709863,0.5
22,2,1,1.4142135623730951,1.4142135623730951,1.0
23,2,1,1.0,1.0,1.0
24,29,34,63.05159823544086,4.348386085202818,0.08374384236453201
25,2,1,1.0,1.0,1.0
26,2,1,1.0,1.0,1.0
27,2,1,1.0,1.0,1.0
28,2,1,1.0,1.0,1.0
29,2,1,1.0,1.0,1.0
30,3,2,2.0,1.3333333333333333,0.6666666666666666
31,2,1,1.0,1.0,1.0
32,2,1,1.4142135623730951,1.4142135623730951,1.0
33,2,1,1.0,1.0,1.0
34,2,1,1.0,1.0,1.0
35,2,1,1.0,1.0,1.0
36,2,1,1.0,1.0,1.0
37,2,1,1.4142135623730951,1.4142135623730951,1.0
38,4,3,4.414213562373095,2.2071067811865475,0.5
39,2,1,1.0,1.0,1.0
40,2,1,1.4142135623730951,1.4142135623730951,1.0
41,2,1,1.0,1.0,1.0
42,2,1,1.0,1.0,1.0
43,2,1,1.0,1.0,1.0
44,2,1,1.0,1.0,1.0
45,2,1,1.0,1.0,1.0
46,2,1,1.0,1.0,1.0
47,3,2,2.0,1.3333333333333333,0.6666666666666666
48,2,1,1.4142135623730951,1.4142135623730951,1.0
49,2,1,1.0,1.0,1.0
50,2,1,1.0,1.0,1.0
51,2,1,1.0,1.0,1.0
52,2,1,1.4142135623730951,1.4142135623730951,1.0
53,2,1,1.0,1.0,1.0
54,6,5,7.146264369941973,2.382088123313991,0.3333333333333333
55,2,1,1.0,1.0,1.0
56,4,3,3.414213562373095,1.7071067811865475,0.5
