node,community_id
"(95, 139)",0
"(87, 135)",0
"(96, 122)",0
"(118, 122)",0
"(88, 118)",0
"(107, 131)",0
"(99, 127)",0
"(88, 136)",0
"(77, 126)",0
"(110, 123)",0
"(80, 131)",0
"(91, 128)",0
"(83, 124)",0
"(102, 137)",0
"(94, 133)",0
"(83, 142)",0
"(103, 120)",0
"(95, 116)",0
"(87, 112)",0
"(84, 125)",0
"(106, 125)",0
"(103, 138)",0
"(95, 134)",0
"(87, 130)",0
"(84, 143)",0
"(96, 117)",0
"(88, 113)",0
"(107, 126)",0
"(99, 122)",0
"(76, 120)",0
"(113, 124)",0
"(102, 114)",0
"(91, 123)",0
"(110, 136)",0
"(83, 119)",0
"(102, 132)",0
"(94, 128)",0
"(83, 137)",0
"(114, 124)",0
"(84, 120)",0
"(106, 120)",0
"(103, 133)",0
"(95, 129)",0
"(87, 125)",0
"(106, 138)",0
"(117, 135)",0
"(109, 131)",0
"(99, 117)",0
"(76, 115)",0
"(98, 121)",0
"(141, 101)",0
"(101, 126)",0
"(79, 126)",0
"(98, 139)",0
"(90, 135)",0
"(113, 137)",0
"(82, 131)",0
"(91, 118)",0
"(110, 131)",0
"(102, 127)",0
"(94, 123)",0
"(91, 136)",0
"(83, 132)",0
"(105, 138)",0
"(84, 115)",0
"(95, 124)",0
"(87, 120)",0
"(117, 130)",0
"(109, 126)",0
"(97, 133)",0
"(86, 142)",0
"(98, 116)",0
"(101, 121)",0
"(79, 121)",0
"(98, 134)",0
"(90, 130)",0
"(113, 132)",0
"(82, 126)",0
"(101, 139)",0
"(91, 113)",0
"(82, 144)",0
"(110, 126)",0
"(102, 122)",0
"(94, 118)",0
"(91, 131)",0
"(83, 127)",0
"(75, 123)",0
"(94, 136)",0
"(105, 133)",0
"(108, 138)",0
"(87, 115)",0
"(117, 125)",0
"(109, 121)",0
"(97, 128)",0
"(120, 130)",0
"(86, 137)",0
"(200, 159)",0
"(98, 111)",0
"(101, 116)",0
"(79, 116)",0
"(98, 129)",0
"(90, 125)",0
"(113, 127)",0
"(82, 121)",0
"(101, 134)",0
"(82, 139)",0
"(110, 121)",0
"(102, 117)",0
"(94, 113)",0
"(83, 122)",0
"(75, 118)",0
"(105, 128)",0
"(93, 135)",0
"(116, 137)",0
"(108, 133)",0
"(86, 114)",0
"(97, 123)",0
"(89, 119)",0
"(86, 132)",0
"(109, 134)",0
"(78, 128)",0
"(89, 137)",0
"(98, 124)",0
"(90, 120)",0
"(113, 122)",0
"(82, 116)",0
"(79, 129)",0
"(101, 129)",0
"(82, 134)",0
"(83, 117)",0
"(75, 113)",0
"(105, 123)",0
"(93, 130)",0
"(116, 132)",0
"(85, 126)",0
"(108, 128)",0
"(85, 144)",0
"(97, 118)",0
"(89, 114)",0
"(86, 127)",0
"(109, 129)",0
"(78, 123)",0
"(97, 136)",0
"(89, 132)",0
"(98, 119)",0
"(90, 115)",0
"(101, 124)",0
"(79, 124)",0
"(112, 121)",0
"(82, 129)",0
"(115, 126)",0
"(104, 135)",0
"(81, 133)",0
"(105, 118)",0
"(93, 125)",0
"(116, 127)",0
"(85, 121)",0
"(108, 123)",0
"(105, 136)",0
"(85, 139)",0
"(97, 113)",0
"(86, 122)",0
"(150, 125)",0
"(109, 124)",0
"(78, 118)",0
"(97, 131)",0
"(89, 127)",0
"(111, 133)",0
"(101, 119)",0
"(92, 138)",0
"(115, 121)",0
"(112, 134)",0
"(104, 130)",0
"(81, 128)",0
"(93, 120)",0
"(116, 122)",0
"(85, 116)",0
"(105, 131)",0
"(93, 138)",0
"(85, 134)",0
"(108, 136)",0
"(86, 117)",0
"(97, 126)",0
"(88, 145)",0
"(89, 122)",0
"(100, 119)",0
"(119, 132)",0
"(111, 128)",0
"(100, 137)",0
"(92, 133)",0
"(80, 140)",0
"(112, 129)",0
"(104, 125)",0
"(81, 123)",0
"(115, 134)",0
"(81, 141)",0
"(93, 115)",0
"(74, 120)",0
"(93, 133)",0
"(85, 129)",0
"(96, 126)",0
"(107, 135)",0
"(99, 131)",0
"(89, 117)",0
"(100, 114)",0
"(111, 123)",0
"(100, 132)",0
"(92, 128)",0
"(112, 124)",0
"(104, 120)",0
"(81, 118)",0
"(81, 136)",0
"(122, 137)",0
"(95, 138)",0
"(85, 124)",0
"(96, 121)",0
"(107, 130)",0
"(99, 126)",0
"(88, 135)",0
"(119, 122)",0
"(100, 127)",0
"(77, 125)",0
"(92, 123)",0
"(111, 136)",0
"(80, 130)",0
"(115, 124)",0
"(81, 131)",0
"(114, 128)",0
"(103, 137)",0
"(95, 133)",0
"(84, 142)",0
"(96, 116)",0
"(88, 112)",0
"(107, 125)",0
"(99, 121)",0
"(96, 134)",0
"(118, 134)",0
"(88, 130)",0
"(99, 139)",0
"(100, 122)",0
"(77, 120)",0
"(92, 118)",0
"(111, 131)",0
"(80, 125)",0
"(110, 135)",0
"(80, 143)",0
"(114, 123)",0
"(84, 119)",0
"(103, 132)",0
"(95, 128)",0
"(87, 124)",0
"(84, 137)",0
"(106, 137)",0
"(87, 142)",0
"(107, 120)",0
"(99, 116)",0
"(76, 114)",0
"(96, 129)",0
"(118, 129)",0
"(88, 125)",0
"(107, 138)",0
"(99, 134)",0
"(100, 117)",0
"(77, 115)",0
"(92, 113)",0
"(80, 120)",0
"(110, 130)",0
"(80, 138)",0
"(91, 135)",0
"(83, 131)",0
"(84, 114)",0
"(103, 127)",0
"(95, 123)",0
"(114, 136)",0
"(87, 119)",0
"(84, 132)",0
"(106, 132)",0
"(87, 137)",0
"(99, 111)",0
"(96, 124)",0
"(118, 124)",0
"(88, 120)",0
"(99, 129)",0
"(76, 127)",0
"(100, 112)",0
"(113, 131)",0
"(80, 115)",0
"(82, 143)",0
"(110, 125)",0
"(102, 121)",0
"(91, 130)",0
"(83, 126)",0
"(102, 139)",0
"(94, 135)",0
"(83, 144)",0
"(103, 122)",0
"(95, 118)",0
"(114, 131)",0
"(87, 114)",0
"(84, 127)",0
"(106, 127)",0
"(95, 136)",0
"(87, 132)",0
"(96, 119)",0
"(109, 138)",0
"(88, 115)",0
"(99, 124)",0
"(76, 122)",0
"(98, 128)",0
"(113, 126)",0
"(101, 133)",0
"(82, 138)",0
"(110, 120)",0
"(102, 116)",0
"(91, 125)",0
"(110, 138)",0
"(83, 121)",0
"(102, 134)",0
"(75, 117)",0
"(94, 130)",0
"(83, 139)",0
"(103, 117)",0
"(95, 113)",0
"(114, 126)",0
"(84, 122)",0
"(106, 122)",0
"(95, 131)",0
"(87, 127)",0
"(117, 137)",0
"(109, 133)",0
"(98, 123)",0
"(90, 119)",0
"(79, 128)",0
"(101, 128)",0
"(90, 137)",0
"(113, 139)",0
"(82, 133)",0
"(91, 120)",0
"(110, 133)",0
"(83, 116)",0
"(102, 129)",0
"(94, 125)",0
"(91, 138)",0
"(83, 134)",0
"(84, 117)",0
"(106, 117)",0
"(87, 122)",0
"(117, 132)",0
"(86, 126)",0
"(109, 128)",0
"(97, 135)",0
"(89, 131)",0
"(86, 144)",0
"(98, 118)",0
"(90, 114)",0
"(101, 123)",0
"(79, 123)",0
"(98, 136)",0
"(90, 132)",0
"(113, 134)",0
"(82, 128)",0
"(91, 115)",0
"(102, 124)",0
"(94, 120)",0
"(83, 129)",0
"(116, 126)",0
"(105, 135)",0
"(85, 138)",0
"(117, 127)",0
"(86, 121)",0
"(109, 123)",0
"(97, 130)",0
"(89, 126)",0
"(86, 139)",0
"(98, 113)",0
"(101, 118)",0
"(79, 118)",0
"(98, 131)",0
"(90, 127)",0
"(113, 129)",0
"(82, 123)",0
"(101, 136)",0
"(112, 133)",0
"(82, 141)",0
"(102, 119)",0
"(115, 138)",0
"(94, 115)",0
"(75, 120)",0
"(116, 121)",0
"(105, 130)",0
"(93, 137)",0
"(85, 133)",0
"(108, 135)",0
"(117, 122)",0
"(86, 116)",0
"(109, 118)",0
"(97, 125)",0
"(89, 121)",0
"(86, 134)",0
"(109, 136)",0
"(98, 126)",0
"(90, 122)",0
"(82, 118)",0
"(101, 131)",0
"(112, 128)",0
"(82, 136)",0
"(123, 137)",0
"(115, 133)",0
"(81, 140)",0
"(75, 115)",0
"(105, 125)",0
"(74, 119)",0
"(93, 132)",0
"(85, 128)",0
"(108, 130)",0
"(97, 120)",0
"(89, 116)",0
"(86, 129)",0
"(78, 125)",0
"(97, 138)",0
"(89, 134)",0
"(90, 117)",0
"(112, 123)",0
"(104, 119)",0
"(115, 128)",0
"(104, 137)",0
"(105, 120)",0
"(93, 127)",0
"(116, 129)",0
"(85, 123)",0
"(108, 125)",0
"(85, 141)",0
"(97, 115)",0
"(86, 124)",0
"(78, 120)",0
"(89, 129)",0
"(100, 126)",0
"(111, 135)",0
"(115, 123)",0
"(112, 136)",0
"(104, 132)",0
"(81, 130)",0
"(93, 122)",0
"(116, 124)",0
"(85, 118)",0
"(108, 120)",0
"(85, 136)",0
"(96, 133)",0
"(86, 119)",0
"(99, 138)",0
"(78, 115)",0
"(89, 124)",0
"(100, 121)",0
"(119, 134)",0
"(92, 117)",0
"(111, 130)",0
"(100, 139)",0
"(92, 135)",0
"(80, 142)",0
"(112, 131)",0
"(81, 125)",0
"(104, 127)",0
"(115, 136)",0
"(106, 130)",0
"(81, 143)",0
"(93, 117)",0
"(85, 113)",0
"(85, 131)",0
"(118, 128)",0
"(96, 128)",0
"(88, 124)",0
"(107, 137)",0
"(99, 133)",0
"(100, 116)",0
"(119, 129)",0
"(111, 125)",0
"(80, 119)",0
"(100, 134)",0
"(92, 130)",0
"(80, 137)",0
"(112, 126)",0
"(104, 122)",0
"(81, 120)",0
"(115, 131)",0
"(81, 138)",0
"(114, 135)",0
"(84, 131)",0
"(96, 123)",0
"(118, 123)",0
"(88, 119)",0
"(107, 132)",0
"(99, 128)",0
"(76, 126)",0
"(88, 137)",0
"(100, 111)",0
"(119, 124)",0
"(111, 120)",0
"(100, 129)",0
"(77, 127)",0
"(92, 125)",0
"(111, 138)",0
"(80, 132)",0
"(104, 117)",0
"(81, 115)",0
"(103, 121)",0
"(114, 130)",0
"(84, 126)",0
"(106, 126)",0
"(103, 139)",0
"(95, 135)",0
"(87, 131)",0
"(84, 144)",0
"(96, 118)",0
"(88, 114)",0
"(107, 127)",0
"(99, 123)",0
"(76, 121)",0
"(96, 136)",0
"(118, 136)",0
"(88, 132)",0
"(100, 124)",0
"(77, 122)",0
"(92, 120)",0
"(80, 127)",0
"(110, 137)",0
"(102, 133)",0
"(83, 138)",0
"(103, 116)",0
"(114, 125)",0
"(106, 121)",0
"(84, 121)",0
"(103, 134)",0
"(95, 130)",0
"(87, 126)",0
"(84, 139)",0
"(96, 113)",0
"(87, 144)",0
"(107, 122)",0
"(99, 118)",0
"(76, 116)",0
"(96, 131)",0
"(88, 127)",0
"(99, 136)",0
"(77, 117)",0
"(113, 138)",0
"(92, 115)",0
"(80, 122)",0
"(110, 132)",0
"(102, 128)",0
"(91, 137)",0
"(83, 133)",0
"(84, 116)",0
"(103, 129)",0
"(95, 125)",0
"(114, 138)",0
"(87, 121)",0
"(84, 134)",0
"(106, 134)",0
"(99, 113)",0
"(118, 126)",0
"(88, 122)",0
"(98, 135)",0
"(113, 133)",0
"(101, 140)",0
"(80, 117)",0
"(91, 114)",0
"(82, 145)",0
"(110, 127)",0
"(102, 123)",0
"(94, 119)",0
"(91, 132)",0
"(83, 128)",0
"(94, 137)",0
"(103, 124)",0
"(95, 120)",0
"(114, 133)",0
"(87, 116)",0
"(84, 129)",0
"(106, 129)",0
"(117, 126)",0
"(87, 134)",0
"(88, 117)",0
"(76, 124)",0
"(98, 130)",0
"(90, 126)",0
"(113, 128)",0
"(101, 135)",0
"(82, 140)",0
"(110, 122)",0
"(102, 118)",0
"(94, 114)",0
"(91, 127)",0
"(83, 123)",0
"(102, 136)",0
"(75, 119)",0
"(94, 132)",0
"(83, 141)",0
"(103, 119)",0
"(95, 115)",0
"(87, 111)",0
"(106, 124)",0
"(84, 124)",0
"(117, 121)",0
"(87, 129)",0
"(86, 133)",0
"(109, 135)",0
"(76, 119)",0
"(98, 125)",0
"(90, 121)",0
"(113, 123)",0
"(82, 117)",0
"(101, 130)",0
"(82, 135)",0
"(91, 122)",0
"(83, 118)",0
"(102, 131)",0
"(75, 114)",0
"(94, 127)",0
"(83, 136)",0
"(116, 133)",0
"(106, 119)",0
"(85, 145)",0
"(120, 121)",0
"(86, 128)",0
"(109, 130)",0
"(78, 124)",0
"(97, 137)",0
"(89, 133)",0
"(98, 120)",0
"(90, 116)",0
"(79, 125)",0
"(101, 125)",0
"(98, 138)",0
"(90, 134)",0
"(113, 136)",0
"(82, 130)",0
"(91, 117)",0
"(102, 126)",0
"(94, 122)",0
"(105, 119)",0
"(116, 128)",0
"(108, 124)",0
"(105, 137)",0
"(85, 140)",0
"(97, 114)",0
